epoch,step,train_loss,train_acc,val_loss,val_acc,train_task,train_kl,train_recon,train_contr,val_task,val_kl,val_recon,val_contr,train_ppl,train_te,val_ppl,val_te,sav_version
0,1250,0.013886495699523948,0.9963718346249336,0.011590569313496234,0.9961504822975107,0.013880354722539777,6.1409940710291264e-06,5.880439143753052,2.0799573724746705,0.011581344120080758,9.225200861692429e-06,5.881470909118653,2.079524519729614,1.0141631903299593,0.012236147904730967,1.0118630855927246,0.0054706354811077385,1
1,2500,0.014146472417912446,0.9951970659616837,0.014562898772142945,0.9958749617905278,0.014116612860969326,2.985954589676112e-05,5.878773090744018,2.0792495918273928,0.014522655884198321,4.024289604276419e-05,5.878680621337891,2.0799035894393922,1.014411376204457,0.008637058868139551,1.014808865333806,0.010483326883150712,1
2,3750,0.014434335791214834,0.9949716947132796,0.01114550539858319,0.9964457785968965,0.014396706193115097,3.7629611208103594e-05,5.878912302017212,2.0800387035369874,0.011110679584004537,3.482583335135132e-05,5.880614604949951,2.079760860824585,1.014665697352924,0.00893093625618266,1.0112972759816647,0.008843555748019,2
3,5000,0.012649266162476852,0.9957475242894225,0.010272630083812693,0.9964509874315065,0.012609734921509517,3.9531260309740903e-05,5.880371527862549,2.0800072086334227,0.010242065162442304,3.056490714661777e-05,5.879911572647095,2.079566411781311,1.012832020661567,0.0075155597933900505,1.0104259781415001,0.006477472159916965,3
4,6250,0.012302010440846788,0.995971377712306,0.0101067258446099,0.9964431757965431,0.012278671280218987,2.3339136224240064e-05,5.879565380477906,2.080566617012024,0.010092421977893173,1.4303859905339778e-05,5.880189884948731,2.079976174736023,1.0124982797800075,0.007444612526137249,1.0102792137775218,0.005797338966565823,4
5,7500,0.011102301188436104,0.9961023285540241,0.010341562764308037,0.9966359114155885,0.011083995815143863,1.8305395334027706e-05,5.880016053009033,2.079865716171265,0.010321413014554855,2.0149763324297965e-05,5.8801643112182616,2.0794272817611694,1.0112405605762678,0.006638667485511744,1.0105584416227533,0.0053244478150686865,4
6,8750,0.010771442035294603,0.9963820882829157,0.009011330141974031,0.9968348611965326,0.010751529391392251,1.991264808457345e-05,5.8791872467041015,2.079703365135193,0.00900272355076304,8.60661796759814e-06,5.879736204910278,2.0799394472122192,1.01092604811295,0.0063681097856806935,1.0091516404544454,0.004653245205391859,5
7,10000,0.01013970139767771,0.9964506434008228,0.011001105454323624,0.996445356905416,0.0101316440799259,8.057309337891639e-06,5.878830361175537,2.0797444732666017,0.010993177668260613,7.927765930071473e-06,5.87986651763916,2.0795216775894163,1.0102808113883492,0.006027723538087473,1.011329801067418,0.00402634868843277,5
8,11250,0.010042914714282961,0.9964066889401766,0.008845240662247306,0.997021944875866,0.010019024033466849,2.3890658630989493e-05,5.880215844345093,2.0800276147842407,0.008825850074259688,1.9390584575012328e-05,5.879736539459229,2.080082880973816,1.0101857374591359,0.006053590842878322,1.008974825146181,0.0038062337066783057,6
9,12500,0.00891269988645945,0.9968704089130993,0.00848371828690033,0.9969201148227276,0.008898113048364758,1.4586840500123799e-05,5.8812463680267335,2.079405270576477,0.008473977530962839,9.740746300667525e-06,5.879051593780518,2.0797710779190064,1.0090100824280626,0.005455149755898556,1.0086155390977871,0.004967848055002409,7
