epoch,step,train_loss,train_acc,val_loss,val_acc,train_task,train_kl,train_recon,train_contr,val_task,val_kl,val_recon,val_contr,train_ppl,train_te,val_ppl,val_te,sav_version
0,1250,0.0790374285498634,0.9804912134394074,0.07852177514731884,0.9804836982618592,0.07902915858440102,8.270032540895045e-06,5.8638071018219,2.079981611061096,0.07851235904032365,9.41592922899872e-06,5.863090375518799,2.080112847328186,1.0868388515911624,0.09493806165141787,1.0866696033427434,0.08771791274054637,1
1,2500,0.08078779552150518,0.9801615701550505,0.08503919779676944,0.9792897882582009,0.08077628285773099,1.1512592993676663e-05,5.86310948677063,2.079946032333374,0.08502590596945957,1.3292079675011337e-05,5.8624421447753905,2.079949830818176,1.0897470557415054,0.09742745096663133,1.0942285697076581,0.09143314352813746,1
2,3750,0.07968921844344586,0.9809571909887711,0.07883094616793096,0.9808450087163568,0.07967599696489051,1.3221517764031887e-05,5.862546481323243,2.080219832229614,0.07881785685196518,1.3089108956046403e-05,5.864061937713623,2.079541314315796,1.0869443912162073,0.09176175453310638,1.087438200154577,0.07996362417287319,1
3,5000,0.08251884459629655,0.9799590559624949,0.08173342917030678,0.9806423306634986,0.08250574296042323,1.310151678044349e-05,5.861789102554321,2.0799360929489135,0.08172291340697557,1.0516145080327987e-05,5.863119289016724,2.0801730939865113,1.0909056987914854,0.09421637137494242,1.0908453036349326,0.07982240146734208,1
4,6250,0.08202866876143962,0.9798763884778607,0.0768989204922691,0.9812121702825998,0.08201399230435491,1.4676501811482012e-05,5.862564393615723,2.079803846549988,0.07688970137191936,9.219119464978575e-06,5.862578438568115,2.080441891860962,1.090939996532069,0.09349148357000422,1.0850660865975323,0.09565095795137087,2
