epoch,step,train_loss,train_acc,val_loss,val_acc,train_ppl,train_te,val_ppl,val_te,sav_version
35,20520,7.978604927709392e-07,0.8112058069520359,1.095054311643177e-06,0.8137401847516789,30.127457394717894,7.694330895655378e-06,30.551360499532603,6.782180783573335e-06,19
36,21090,7.030522483656218e-07,0.8117063813195329,3.1493666933594494e-07,0.8099973910077536,41.474654565453356,6.843953762480022e-06,33.648226757189754,3.7324821967858946e-06,20
37,21660,5.918844254793249e-07,0.8127461962078321,7.31053576667288e-07,0.8116989405932554,30.400201957235822,6.003325828882192e-06,34.43614470577601,4.7668252759336e-06,20
38,22230,5.038242584769131e-07,0.808219903443597,7.883705033388348e-07,0.8123830736052811,52450.282093603484,5.349660375030406e-06,33.46646257529554,4.475757568843756e-06,20
39,22800,4.58999793189625e-07,0.8125090366154626,5.876798386594828e-07,0.8163210177760883,31.402597553749136,4.869711689767452e-06,33.74886834787898,4.635379225658606e-06,20
40,23370,3.9793098977974407e-07,0.8102105580703042,3.6123098183793446e-07,0.8179428894057639,34.25178624349986,4.397698383181234e-06,29.270606440622352,3.507413977725479e-06,20
41,23940,3.85430980499454e-07,0.8111859749018295,5.765751479221611e-07,0.8157878591753733,32.39004326237958,4.102286329424165e-06,31.522156340194265,3.41025913604682e-06,20
42,24510,3.4949953527131043e-07,0.8124684716466242,2.536851634242036e-07,0.8234097321016985,31.974444413359034,3.8112755229531892e-06,26.186860484343,3.0834616237302267e-06,21
43,25080,3.221189678563924e-07,0.8129685860121827,4.18196678234987e-07,0.8085376090390696,31.596464105696125,3.6100390868647337e-06,36.5253983699055,2.996266388344928e-06,21
44,25650,3.125024111171657e-07,0.8124253648645775,2.484608488136549e-07,0.813881980799617,32.833939689877006,3.4851764594112154e-06,32.87568444547407,2.6449872846045364e-06,22
45,26220,2.9354667179510424e-07,0.8118707220850643,5.93515631545453e-07,0.8118247396598083,32.89525038014419,3.3224590815780704e-06,35.37073444609208,3.0695436121693166e-06,22
46,26790,2.959913399885201e-07,0.8133177871647399,7.232414604393018e-07,0.8082209949226588,31.96458196226317,3.2692611458940367e-06,36.39955101403197,3.1131551589831692e-06,22
47,27360,2.7616820324083805e-07,0.8108143008083968,7.257988284455527e-07,0.8160596554939343,34.2735623373196,3.2189519591419313e-06,32.79117654453555,3.0374074700889047e-06,22
48,27930,2.897226233363183e-07,0.8128405966445649,7.124895168667914e-07,0.8154632008841546,33.086877395398496,3.254240152839535e-06,33.612470765023566,3.047601606908813e-06,22
49,28500,2.935765468636052e-07,0.8107884937139268,4.643089926759103e-07,0.8140709859190863,47.554175357743006,3.2339323305943434e-06,34.049362350737255,2.7237916682171927e-06,22
