epoch,step,train_loss,train_acc,val_loss,val_acc,train_task,train_kl,train_recon,train_contr,val_task,val_kl,val_recon,val_contr,train_ppl,train_te,val_ppl,val_te,sav_version
0,1867,7.334531218467962,0.5842031618653579,2.933248317602909,0.8588739312594954,2.292580412075235,0.08406798955602805,4.957882822485741,2.082529583843111,0.6614378887896586,0.11406311595981772,2.157747299984248,2.0652122425310537,47.15388032942361,0.5459453002420888,1.9834347910183443,0.21362832222458944,1
1,3734,2.454592837263188,0.8935837022370001,2.3268934030725497,0.9050426735678431,0.4467468166820621,0.04736718964120987,1.960478830477996,2.080612360569137,0.34315479411320254,0.028415181984504063,1.9553234324310764,2.068759292063087,1.5920622818770314,0.15859829564461586,1.4241015146345728,0.102990773072521,2
2,5601,2.217436674641107,0.909564389478398,2.2180075079503685,0.9086945627948136,0.30568136237701377,0.02740765469628633,1.8843476582671719,2.0826503127797378,0.2904919537179398,0.03180798256036007,1.8957075627163202,2.074077611619776,1.3665350865766224,0.10518402166513323,1.347664341279101,0.08618040051462918,3
3,7468,2.1877825458738083,0.9168954826039094,2.1821055328003083,0.9241881066467215,0.25583419132724317,0.04461248409767233,1.8873358727395375,2.082867707233092,0.23267192935401743,0.03485120998488532,1.9145823873654761,2.0641483887277468,1.2976182928505346,0.08646542305660318,1.2663199051131337,0.0736585542048192,4
4,9335,2.074999673582362,0.9478578566667512,1.9902414276142313,0.9654159885324898,0.17382445862844995,0.026000812182818495,1.875174403733344,2.0819163428440923,0.13081394286468775,0.02272249028237179,1.8367049922846785,2.0658101210690507,1.196999243522625,0.06865622300875679,1.1436826147780532,0.06977280679650069,5
5,11202,1.9548358018856733,0.974275814695767,1.9491875135537349,0.9779342532888333,0.09836998009075519,0.039463240341006525,1.8170025823712668,2.0823957700427993,0.08324501247173458,0.06117543438919867,1.8047670475160233,2.0684435849237923,1.1062427341835774,0.04859275960940728,1.089618250367023,0.04116357231497423,6
6,13069,1.8629056764402425,0.976856202268196,1.8296891523130012,0.9783429997268465,0.08691414112407592,0.04199006835554427,1.7340014654490548,2.0817272537969047,0.08392536854653647,0.03840387437605497,1.7073599039906202,2.0703935647251632,1.093303569864323,0.044708286219879795,1.0904678202890428,0.04182583721513463,7
7,14936,1.8110141012205054,0.9784695929860084,1.791101745884828,0.9764173669647953,0.0817145433289799,0.0373642196161468,1.6919353352744884,2.0810216689531216,0.08955787211854124,0.0366988264475808,1.6648450626267328,2.069040765063931,1.0875181773615297,0.04251638681651689,1.0977570748059216,0.045003034114295175,8
8,16803,1.7944294021419491,0.9796117672678197,1.790886266062958,0.9794790130738805,0.0767000295294386,0.039175657745017745,1.6785537134407036,2.081245776990166,0.08203367641750685,0.04438962219188912,1.664462968556568,2.06879740411585,1.0820149990266914,0.04118105724300642,1.0889771887416746,0.04102241882587435,9
9,18670,1.7649154758862013,0.9792352849045209,1.799373706181844,0.98039322512802,0.07794727894160039,0.05283516784107296,1.634133028454109,2.081737699965838,0.07928551368725796,0.046429236240760244,1.6736589513643823,2.0690641379115555,1.0833105839616337,0.0423484614528796,1.0850457454672546,0.032257997123055146,9
10,20537,1.7584400743996325,0.9802500170710103,1.8322117111899636,0.9825156798825851,0.07319627377495418,0.03821187734655761,1.6470319213366598,2.08257952966215,0.06678030715380429,0.03851862174618726,1.7269127838539355,2.0654165967546327,1.0782192106030781,0.039910535085622055,1.0709043333432433,0.029129948272386665,9
