epoch,step,train_loss,train_acc,val_loss,val_acc,train_task,train_kl,train_recon,train_contr,val_task,val_kl,val_recon,val_contr,train_ppl,train_te,val_ppl,val_te,sav_version
0,1867,2.266642743578938,0.5932017469381884,0.6694569084981475,0.861119556666353,2.262310409073403,0.00433233216014328,5.838517261815697,2.082797554322086,0.6662814641239667,0.003175446622525201,5.838448890531906,2.072500068731982,46.698134546226036,0.5446128820003028,2.0056444787229895,0.2247195461495515,1
1,3734,0.45772345600341435,0.8921499563117181,0.34637650395884656,0.9048836632853204,0.4558598193163915,0.0018636366174667057,5.840314600770334,2.08259902513787,0.3452079976447905,0.0011685065119033397,5.84135120565241,2.071121161634272,1.6056797329811408,0.16140022436201684,1.4235549566824084,0.11452498044308453,2
2,5601,0.3041950749501738,0.9102977930845451,0.271319834534267,0.9142443692766007,0.3034776313161556,0.0007174434880936796,5.840173072590187,2.0822366020803345,0.2707853620552053,0.0005344718696450758,5.844840237588594,2.0709685665188413,1.3644228545789563,0.10326301740108937,1.3167980304420313,0.08867321665615877,3
3,7468,0.24659920534908164,0.9193434711907414,0.23627224489293916,0.920213663714987,0.24625929330097013,0.000339911868765199,5.840816277900863,2.081956884921012,0.23600665397114223,0.00026559051081557014,5.83986550629741,2.06798010522669,1.2845972459914468,0.08426004207903906,1.2744453623040002,0.07495452100712126,4
4,9335,0.16713201448029025,0.9486476845616564,0.10445037181253987,0.97219873585366,0.1669109542418898,0.00022106034139405195,5.840478959923833,2.0829213113151392,0.10426487833863557,0.0001854938210924203,5.842115801994247,2.06669818512117,1.186498474452341,0.06532550586684517,1.1128278733410908,0.04511261759025176,5
5,11202,0.10041417778870186,0.9734954899134056,0.08081587388961002,0.978439601945446,0.10026748503952915,0.00014669270613270672,5.840967106831923,2.0817483793814424,0.0806930416517637,0.0001228322163859213,5.83953163840554,2.0688986314667597,1.108437381342847,0.04944380169883596,1.0854752943522568,0.04697775742625028,6
6,13069,0.08748396243308319,0.9769480287504856,0.09224676048251415,0.9760513406687568,0.0874073548769904,7.660760388729059e-05,5.841357156051693,2.081561016219149,0.09217925780838487,6.750270205719227e-05,5.8415550703954215,2.071473626175312,1.0938131319616016,0.044741408829136846,1.1004082638105972,0.04699019203252264,6
7,14936,0.0815245808513666,0.9783684979726862,0.08359774646603248,0.9790823202482499,0.08146656469764821,5.801613731923337e-05,5.840820846802804,2.0809560950963206,0.08353465572093623,6.309047463641624e-05,5.838175142654265,2.0710468412649754,1.0872112503865534,0.04275032174660245,1.0906536710820158,0.03411032045065631,6
8,16803,0.07770775706100966,0.9791556354115821,0.06930138852513122,0.9813190012844459,0.0776677489359641,4.0008156783838896e-05,5.840453318241898,2.0821522901450242,0.0692607868824982,4.060191426877723e-05,5.839470771828083,2.062944714469139,1.0829488836933199,0.04089687900457272,1.0731140045433623,0.037734896726025806,7
9,18670,0.07312899771975538,0.9803790807486615,0.07433411769681808,0.979988903599249,0.0730996424544016,2.9355246086326046e-05,5.840271801634402,2.082095317299122,0.07430710488309462,2.7012966298074886e-05,5.83978467517429,2.0714430447780723,1.077652243293692,0.03936608878964235,1.0787322822632297,0.039643972362089115,7
10,20537,0.07363616009900047,0.9801084729622047,0.06435559696583736,0.9833801285796695,0.07361189380186361,2.4266233675837335e-05,5.84137692985269,2.0830715470091827,0.06432417024754816,3.142657894358942e-05,5.837632275590993,2.0690534060651604,1.0785086350194604,0.039318581498550755,1.06861366468084,0.033798413491416296,8
11,22404,0.06830989461920678,0.9816399559524972,0.06750813373858391,0.9812866677197527,0.06828802744163341,2.1867202826833975e-05,5.840535146511999,2.082354348869201,0.06748629042130867,2.1843397531263303e-05,5.837202409301141,2.072239556697884,1.0728725561264425,0.03770293467433219,1.0712699597799815,0.0379210681537938,8
