epoch,step,train_loss,train_acc,val_loss,val_acc,train_task,train_kl,train_recon,train_contr,val_task,val_kl,val_recon,val_contr,train_ppl,train_te,val_ppl,val_te,sav_version
0,1867,4.943174706912641,0.4433781690032878,3.419575249305879,0.6798363827732239,2.8553780751491398,0.005864955813099691,5.8239850390065975,2.0819316748060768,1.3457614677120942,0.00440465331529126,5.824051606534708,2.069409141636858,58.355391246538034,0.6414554379049342,4.29729852496105,0.3687806302902123,1
1,3734,3.0859697918618627,0.7463582556908451,2.8521896986046222,0.7763608054834183,1.0025030576774125,0.003508836461079467,5.825634590878356,2.0799578960783416,0.7851218150721656,0.0028285307508676945,5.831335645733458,2.064239359865285,3.0057168508743617,0.27690976209265733,2.302265448395095,0.21245912985432383,2
2,5601,2.8178938317886315,0.77941023702008,2.6861854900013316,0.8011123799701121,0.7397606984363498,0.0036173524507062023,5.8262873298673625,2.07451578213304,0.6259277033986468,0.005485928638584234,5.825142272795089,2.0547718580323036,2.1911136033229375,0.19218627453319298,1.9188141708915953,0.1763476575856587,3
3,7468,2.6650776870919857,0.8063068697048902,2.5254304794350055,0.8486753171232362,0.5899397756447432,0.005700061174998001,5.827220603368725,2.069437853716629,0.46856673302674534,0.006359309570115963,5.825820181104872,2.0505044285697167,1.8533351009217067,0.16402215576650062,1.647497941343733,0.13159280437385404,4
4,9335,2.3304579985544014,0.9269967439198042,2.2679087387190924,0.9432940592834366,0.2712012441797919,0.015369578651561595,5.827734584532514,2.043887174378504,0.22586664023122402,0.016910385613263856,5.831497789633395,2.025131709045834,1.3377162434145944,0.13046520940630582,1.268306447128288,0.11361012272511661,5
5,11202,2.1876967559859404,0.9631007351182529,2.151475478302349,0.9677168903085304,0.15390737525705722,0.024623628003880918,5.829380635852538,2.009165753319612,0.13564856992470045,0.026265158346205048,5.827068150645554,1.9895617510333206,1.180891802538145,0.11226251028456444,1.1618185853580283,0.07436520081377625,6
6,13069,2.1509156982286224,0.9691542687478139,2.1229941856981527,0.9729147880264836,0.1298650974660888,0.024868519051897377,5.828636128824537,1.9961820827426922,0.11730984309594138,0.02481650391762907,5.826593586892793,1.9808678482518052,1.14912542777159,0.10603571422292525,1.1313039498005872,0.10735528626711838,7
7,14936,2.1415063467138133,0.9686587254058675,2.130404050904091,0.9691411561146522,0.1311857614905165,0.02467219910051137,5.828129828646659,1.9856483896083863,0.13723188459948457,0.02424221873433903,5.827532320311575,1.9689299307688317,1.154013292989771,0.1076263389090132,1.1748245844029037,0.09767486709811557,7
8,16803,2.1207379892859537,0.9710724910908237,2.104178144474222,0.9694632141657172,0.12121373996533649,0.024231624794025502,5.827584279943547,1.9752926234580899,0.12101062851478205,0.021785322068767113,5.83597796372693,1.9613821927947228,1.1390435998670114,0.10520075462520348,1.182063837891869,0.07868927790865965,8
9,18670,2.128369583385629,0.9708515439311416,2.100165450211727,0.9744826938220035,0.11951734412892512,0.02167719666236023,5.828889196801454,1.9871750437261972,0.1067935018329834,0.021950362005619086,5.833765680139715,1.9714215801219748,1.1386569064446708,0.1037640996931369,1.1192918787200379,0.10381514219969842,9
10,20537,2.1049828935767727,0.973675866229726,2.0815741883383856,0.9769782288409213,0.10873797921881372,0.022190840885414276,5.8294639520997595,1.9740540723335827,0.09119201459536197,0.0230227428855318,5.82683158643318,1.9673594362807996,1.1236603996954002,0.10241498399519196,1.109955842902999,0.08858788525609301,10
11,22404,2.107424322461852,0.972510275323468,2.086063271821147,0.9717168728328823,0.11214196689171994,0.02461805224895525,5.829643013264064,1.9706643014651413,0.11037344771973563,0.0241246052613162,5.829908356522068,1.9515652247149535,1.1313602152662767,0.09958175868252651,1.1283118145022375,0.07525212735635872,10
12,24271,2.092915026689508,0.975271454346261,2.085817595924994,0.9762664398010864,0.10216880800867434,0.02518452857294278,5.828141056923031,1.965561691362333,0.10730075110878909,0.02734489223421222,5.825853916129681,1.9511719436356516,1.1145454194168793,0.09741398306762314,1.1200891528766839,0.08884362467859892,10
13,26138,2.1528104732684037,0.9729443669272486,2.1617038803871234,0.9742942955312451,0.11120869359662472,0.01531510378926719,5.829825802544061,2.0262866748739325,0.1113184934783012,0.007416134319183501,5.82908685279615,2.0429692629611855,1.1290824201313263,0.09830218260424363,1.128072526531896,0.09702583217239037,10
14,28005,2.1599592700895935,0.9727091250790877,2.1123070885436706,0.9778411295792279,0.10981675177607057,0.01117799240375216,5.828436780499467,2.0389645246496544,0.09502026016090179,0.015393166290125762,5.833771898288919,2.0018936546161923,1.128364181607355,0.09817106926257538,1.103062396960789,0.09271411801255541,10
15,29872,2.114008156769277,0.9753168148939116,2.1109496421284146,0.9724381344009998,0.10110982431831605,0.020766166247323706,5.8308623755239966,1.9921321651804045,0.11382749321226106,0.0198461739158239,5.831186545015585,1.9772759802413709,1.1152503588000837,0.09329428871501885,1.1368444261541126,0.08457230793210394,10
16,31739,2.0988321583987433,0.9750719306449505,2.091624404444839,0.9730513742865119,0.10317815364687392,0.022986280329796837,5.830801699208779,1.97266772640026,0.11972776423749336,0.023631215490626568,5.825564601204612,1.948265426086657,1.1182884344988462,0.08792855864388747,1.1411480727878895,0.05933529965063791,10
17,33606,2.092233239534901,0.9740193625300526,2.0669700208336415,0.9770058905127521,0.10578344425450398,0.02432001345996941,5.828483820600055,1.9621297829790938,0.09699783029476877,0.02521512143765435,5.82969613027091,1.9447570665918215,1.1205103740276086,0.09174177930258581,1.1056482551361047,0.08735352724757683,11
