epoch,step,train_loss,train_acc,val_loss,val_acc,train_ppl,train_te,val_ppl,val_te,sav_version
0,1250,1.9360355212683088e-08,0.9472489611109164,3.596650992798711e-09,0.9473967676068611,2.5317605662388347,2.271867187435273e-06,3.0161611306790266,1.5274960935692946e-06,1
1,2500,1.5208589349313683e-08,0.9470816657304194,8.51759613248737e-09,0.9471539833277655,2.5653770752977123,2.3820100776503005e-06,3.053676290824515,2.0401082759282577e-06,1
2,3750,1.9751301171311298e-08,0.9470572326014186,9.877210523150104e-09,0.9471508100707129,2.595490301657702,3.229602231183911e-06,3.119580321079406,2.625101790995698e-06,1
3,5000,1.9525129472697244e-08,0.9475496621094947,7.229530548587271e-09,0.9471292200520723,2.596020202506976,3.5983089598713554e-06,3.1420413423615012,2.8155802889032436e-06,1
4,6250,1.8773994537468754e-08,0.9471617530220825,5.895946566479571e-09,0.9479419932726602,2.629479430146222,3.759492524316158e-06,3.0959706862807335,3.0520367338773494e-06,1
5,7500,1.8335015670345454e-08,0.9469243455889799,5.637807260369665e-09,0.9474920881051856,2.665232761314696,3.859527868246293e-06,3.1205380299554566,3.1735787654246853e-06,1
6,8750,1.7938016139851244e-08,0.9473207159834588,3.3966029785198472e-09,0.9477495315940352,2.646039411252653,3.901214907984117e-06,3.1324472214369883,3.2177553779863853e-06,2
7,10000,1.742204018881921e-08,0.9472489256198025,3.0242835265453795e-09,0.9474678667474378,2.6634146138418098,3.898758667781776e-06,3.1332514548532817,3.3062653316840085e-06,3
8,11250,1.6960919131747686e-08,0.9472454906605333,2.916459666575666e-09,0.9471819242060525,2.6747031278997104,3.884175541109474e-06,3.2308106435749715,3.2572337376144066e-06,4
9,12500,1.6844387381098615e-08,0.9473288640077734,1.5901400262238742e-09,0.94724069274853,2.6754298614128342,3.878294526348633e-06,3.1948854458269067,3.2008355231650055e-06,5
10,13750,1.6490461563023474e-08,0.947249558398463,2.045463594477215e-09,0.9470255142480444,2.6773837386735617,3.859197156101345e-06,3.2122464675222715,3.3201072225112114e-06,5
11,15000,1.6319982950818714e-08,0.9470965387559803,1.2798000901911855e-09,0.9471262554205284,2.6903107713726593,3.85399773578557e-06,3.2032246005878173,3.3961512210234266e-06,6
12,16250,1.615055215111738e-08,0.9470857138688245,2.301786831022945e-09,0.9474136833288985,2.6919263960296544,3.852576608396261e-06,3.176865902418384,3.295146331720298e-06,6
13,17500,1.6197560631781016e-08,0.9477147130794265,1.1649913089509244e-09,0.9472178489598331,2.6592574092679975,3.846220536368649e-06,3.176053296631148,3.4589371573280453e-06,7
14,18750,1.599846718747244e-08,0.9475141013403269,9.303678891806055e-10,0.9472724685021616,2.6638739456467864,3.851223537579669e-06,3.1448791320996947,3.4456435682675897e-06,8
15,20000,1.5764053344824448e-08,0.9471805419112221,1.5652737170801512e-09,0.9472764090891366,2.6803511982982786,3.846873435843027e-06,3.201744531335478,3.3899091283827975e-06,8
16,21250,1.5784309598032564e-08,0.9473625150152899,1.9158234998095656e-09,0.9470809361971946,2.672311072529675,3.8684911450687594e-06,3.227686494694817,3.3298932205915357e-06,8
17,22500,1.5847592967332957e-08,0.9472198566072124,1.647788889208579e-09,0.9468729821905235,2.681199872839082,3.898339323677312e-06,3.195583326717007,3.5050973809498584e-06,8
18,23750,1.5730409309355762e-08,0.9468807483319636,2.827774489036483e-09,0.9474994103024461,2.694185478649379,3.9258566896936665e-06,3.1713800754007733,3.3880352881781294e-06,8
19,25000,1.5787033716563316e-08,0.9471342481101408,2.496200403072357e-09,0.946948903108148,2.6776263309694337,3.954477309304204e-06,3.2173304097753914,3.4750384373838505e-06,8
20,26250,1.5672923450082977e-08,0.9468711439793877,2.888240602200165e-09,0.9472435141526266,2.695226691237345,3.985149613904836e-06,3.1697811417015163,3.638235705891375e-06,8
21,27500,1.5942424878190307e-08,0.9476309232247994,3.6334150082265036e-09,0.9475985974209193,2.644594731829095,4.028864490802908e-06,3.1398840610281544,3.6744698484610142e-06,8
22,28750,1.5844566182465767e-08,0.9473916111595141,2.853758386364702e-09,0.9469227756400375,2.663888090530197,4.063611639173619e-06,3.1871487874875655,3.5869743436848294e-06,8
